edad,total_casos,casos_graves,pct_graves
1,665,8,1.2
2,797,9,1.13
3,978,16,1.64
4,1221,12,0.98
5,1422,26,1.83
6,1645,31,1.88
7,1631,27,1.66
8,1706,19,1.11
9,1854,40,2.16
10,1647,24,1.46
11,1648,20,1.21
12,1481,33,2.23
13,1415,19,1.34
14,1364,23,1.69
15,1213,16,1.32
16,998,13,1.3
17,951,13,1.37
18,625,13,2.08
19,575,8,1.39
20,548,15,2.74
21,435,13,2.99
22,384,8,2.08
23,390,4,1.03
24,396,11,2.78
25,317,7,2.21
26,314,6,1.91
27,275,18,6.55
28,300,6,2.0
29,294,8,2.72
30,256,5,1.95
31,302,4,1.32
32,303,4,1.32
33,311,4,1.29
34,266,4,1.5
35,287,2,0.7
36,262,4,1.53
37,274,6,2.19
38,265,5,1.89
39,277,2,0.72
40,232,3,1.29
41,249,5,2.01
42,242,0,0.0
43,228,2,0.88
44,220,5,2.27
45,224,3,1.34
46,194,2,1.03
47,218,3,1.38
48,226,1,0.44
49,209,1,0.48
50,226,4,1.77
51,221,2,0.9
52,215,2,0.93
53,204,2,0.98
54,216,2,0.93
55,222,2,0.9
56,190,3,1.58
57,179,3,1.68
58,185,3,1.62
59,186,1,0.54
60,83,0,0.0
61,90,0,0.0
62,87,4,4.6
63,85,3,3.53
64,87,3,3.45
65,79,3,3.8
66,91,1,1.1
67,77,1,1.3
68,92,3,3.26
69,87,1,1.15
70,75,2,2.67
71,82,1,1.22
72,81,0,0.0
73,50,1,2.0
74,70,2,2.86
75,79,1,1.27
76,71,2,2.82
77,71,2,2.82
78,66,3,4.55
79,70,2,2.86
80,75,3,4.0
81,45,1,2.22
82,66,0,0.0
83,56,1,1.79
84,53,0,0.0
85,61,3,4.92
86,9,0,0.0
87,5,0,0.0
88,11,1,9.09
89,7,0,0.0
90,10,0,0.0
91,5,0,0.0
92,3,0,0.0
93,4,0,0.0
94,4,0,0.0
95,5,0,0.0
96,3,0,0.0
97,1,0,0.0
101,1,0,0.0
